TYPE,STATUS,NAME,Bakery,Bar,Bike Shop,Bookstore,Brewpub,Child Care,Cinema,Clothing Store,Coffee Shop,Department Store,Dry Cleaners,Fitness Gym,Grocery Store,Music Store,Restaurant,Specialty Snacks & Beverages,Community Center,Fire Station,Govt. Building,Library,School,<$15000,$15000-$34999,$35000-$49999,$50000-$74999,$75000-$99999,$100000 +,1 mile <$15000,1 mile $15000-$34999,1 mile $35000-$49999,1 mile $50000-$74999,1 mile $75000-$99999,1 mile $100000 +,total_pop,avg_HH_size,med_HH_income,med_age,pct_home_ownership,people_per_acre,du_per_acre,total_biz_acre,total_num_employees,market_value,net_acreage,total_du,total_biz,gross_acreage,total_pop 1-mile,avg_HH_size 1-mile,med_HH_income 1-mile,med_age 1-mile,pct_home_ownership 1-mile,people_per_acre 1-mile,du_per_acre 1-mile,total_biz_acre 1-mile,total_num_employees 1-mile,market_value 1-mile,net_acreage 1-mile,total_du 1-mile,total_biz 1-mile,Parks Access,Transit Access,Bike route density,People per acre,Sidewalk density,Private amenities,Block Size,Composite Score,retail,service,other,Narrative
Central City,Adopted,Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,3.04,4.72,3.37,4.05,2.62,3.92,69.33,18,39,44,
Regional Center,Adopted,Beaverton,1,5,2,4,0,1,0,10,8,3,3,5,11,1,63,5,0,0,1,1,1,11.0%,21.8%,24.0%,25.0%,8.3%,9.7%,9.4%,21.2%,18.5%,24.4%,11.8%,14.8%," 2,290 ",2.58,"$45,422",30,24.4%,30.2,3.2,1.34,7613,37,328,1047,441,407," 32,908 ",2.4,"$50,796",34.5,41.6%,14.0,4.0,0.34,20217,28,3792,15215,1296,4.35,2.25,1.35,2.72,3.27,2.9,2.4,43.7,45,31,24,"The Beaverton Regional Center serves as a retail and transportation hub for Beaverton and unincorporated Washington County. Located directly west of Highway 217 and south of Highway 26, the center is served by several additional ODOT facilities, including State Highway 8 and 10. Two MAX stops, as well as a regional transit center, provide extensive transit service in and out of the center. The center has 2,290 residents, 5,290 employees and 1,047 dwelling units. Beaverton Regional Center contains 407 gross acres."
Regional Center,Adopted,Clackamas,2,0,1,1,0,0,1,42,7,9,1,4,0,1,44,8,0,1,0,1,2,10.3%,22.7%,26.6%,23.8%,8.6%,7.9%,7.1%,16.5%,18.8%,25.3%,12.9%,19.3%," 5,227 ",2.22,"$44,636",28.5,15.2%,36.0,5.4,0.68,12776,54,500,2680,342,631," 31,649 ",2.52,"$56,787",32.9,46.9%,12.0,3.0,0.21,20775,22,4377,13112,919,3.11,1.63,3.76,2.74,1.93,1.96,1.12,33,38,54,8,"The Clackamas Regional Center is located directly adjacent to Interstate 205 and serves as the retail hub of northern Clackamas County and much of East Portland. Located in unicorporated Clackamas county, the center is home to a large regional mall and many destination shops and services. It is the final southbound stop on the newly opened MAX Green Line. This MAX station is also home to a 750-space park-and-ride facility, which allows for extended transit service to 10 bus lines. The regional center is part of an active urban renewal district and contains abundant surface parking. The center has 5,227 residents, 12,059 employees and 2,680 dwelling units. Clackamas Regional Center contains 631 gross acres."
Regional Center,Adopted,Gateway,0,5,1,0,0,2,0,6,7,3,4,5,7,0,42,4,0,0,0,0,6,11.4%,15.4%,20.7%,31.6%,10.2%,10.7%,9.1%,15.0%,15.3%,26.1%,14.6%,19.9%," 8,709 ",2.45,"$47,871",35,40.8%,25.7,6.0,0.68,7968,47,650,3878,444,809," 59,302 ",2.61,"$54,368",36.7,56.1%,17.0,5.3,0.28,18233,31,4574,24109,1268,3.6,2.08,3.66,2.7,2.98,1.78,2.18,42.74,25,62,13,"The Gateway Regional Center serves the northeast and eastern portions of Portland along with shoppers and travelers from most locations east of the Willamette River and both sides of the Columbia River. The center is well connected to the entire region through the major transportation corridors of Interstate 205 and Interstate 84. Additionally, the Gateway transit center serves the Blue, Green and Red MAX lines, six bus lines, and contains 690 parking spaces devoted to park-and-ride commuters. Gateway is part of an active urban renewal district. The center has 8,709 residents, 7,447 employees and 3,878 dwelling units. Gateway Regional Center contains 809 gross acres."
Regional Center,Adopted,Gresham,1,5,2,1,1,3,1,19,11,2,3,3,4,0,61,5,1,1,1,1,6,10.1%,23.1%,19.0%,24.5%,13.2%,10.2%,8.8%,18.8%,17.3%,27.1%,17.1%,10.8%," 4,684 ",2.73,"$47,298",31,26.2%,22.3,3.8,0.84,7643,37,552,2098,465,692," 48,395 ",2.56,"$54,440",33.1,47.2%,12.5,4.0,0.18,13463,23,4933,19810,893,4.06,1.93,4.19,2.65,2.99,2.32,2.35,48.11,39,40,22,"The Gresham Regional Center serves eastern Multnomah County with destination shopping and dining. The center encompasses two distinct neighborhoods: Civic Neighborhood and downtown Gresham. Although not on an interstate highway, the center is served by State Highway 26 (Powell Boulevard), and multiple east-west arterials. Downtown Gresham is the eastern terminus of the MAX Blue Line, which contains a 540-space park-and-ride facility and serves eight separate bus lines. The newly opened Civic Station MAX stop is developing into a transit-oriented site, with ongoing public and private investments. The center has 4,684 residents, 6,902 employees and 2,098 dwelling units. Gresham Regional Center contains 692 gross acres."
Regional Center,Adopted,Hillsboro,2,1,1,0,0,4,1,4,4,0,3,0,5,0,33,0,1,1,1,2,3,13.3%,23.9%,16.7%,25.1%,11.5%,9.6%,9.3%,18.5%,16.9%,25.7%,15.5%,14.1%," 2,336 ",3.8,"$51,675",32.6,45.0%,41.2,3.7,1.54,6421,44,212,784,328,295," 31,694 ",3.17,"$60,690",32,55.9%,11.4,2.9,0.19,11091,16,3753,10787,699,4.06,2.06,4,2.97,3.73,2.35,3.03,54.26,10,43,47,"The Hillsboro Regional Center serves jurisdictions in the western part of region such as Forest Grove and Cornelius as well as rural portions of Washington County. Historic downtown Hillsboro is within the regional center, and is home to the Hillsboro Civic Building, Washington County Courthouse, a satellite campus of Pacific University, and Tuality Community Hospital. The center is the western terminus of the MAX Blue Line, and contains the Hillsboro Central Transit Center, which serves five bus lines. The nearby Hatfield Government Center parking garage contains 250 available spaces for park-and-ride users. The center has 2,336 residents, 6,122 employees and 784 dwelling units. Hillsboro Regional Center contains 295 gross acres."
Regional Center,Not Adopted,Oregon City,1,7,1,0,0,0,0,0,8,0,0,4,0,0,20,0,1,1,0,1,0,12.7%,14.1%,22.5%,23.2%,12.0%,15.5%,8.6%,13.7%,14.6%,25.4%,15.1%,22.6%, 256 ,2.53,"$50,704",37.8,48.7%,8.0,0.2,0.41,3773,12,503,125,204,768," 31,150 ",2.59,"$62,725",37.6,60.7%,7.8,2.3,0.12,10297,16,5282,11919,639,4.06,1.29,3.1,1.48,1.77,1.37,2.09,28.88,44,20,36,"The Oregon City Regional Center is the southernmost regional center, serving Clackamas County and neighboring cities. The oldest incorporated city in Oregon, the center abuts the Willamette River and is known for its historic, small town feel. The transportation network consists of direct access to Interstate 205 and the additional ODOT facilities of McLoughlin Boulevard (Highway 99 East) and Highway 213. The center has 256 residents, 3,380 employees and 125 dwelling units. The center is served by several bus lines, and is included for a potential high capacity transit service in the the Regional Transportation Plan. Oregon City Regional Center contains 503 gross acres."
Regional Center,Adopted,Tanasbourne/Amber Glen,1,0,0,1,0,0,1,28,5,4,1,3,5,1,41,1,0,0,0,0,1,6.4%,16.1%,18.2%,29.4%,16.5%,13.5%,5.6%,12.1%,14.3%,24.9%,17.6%,25.5%," 3,614 ",1.97,"$58,286",29.4,4.6%,15.0,3.3,0.50,5560,32,610,2037,304,678," 49,133 ",2.47,"$67,579",32,43.7%,12.9,4.2,0.16,16156,25,5046,21241,801,3.69,1.3,3.58,2.24,2.21,1.71,1.12,31.61,49,23,29,"The Tanasbourne Regional Center is located along Cornell Road, south of Highway 26 in Hillsboro. Tanasbourne was upgraded to a regional center in 2010 when the City of Hillsboro completed a new area plan for AmberGlen, subsequently added it to the center boundary, and petitioned the Metro Council for the new designation. The area includes a mix of employment and commercial businesses, notably the Streets of Tanasbourne regional shopping center. The center is serviced by two major arterials, Cornell Road and Northwest 185th Avenue. The center has 3,614 residents, 6,084 employees and 2,037 dwelling units. Tanasbourne Regional Center contains 678 gross acres."
Regional Center,Adopted,Washington Square,1,1,0,2,0,3,0,36,6,6,2,2,3,0,33,8,0,1,0,0,2,11.7%,19.8%,21.6%,24.9%,13.6%,8.4%,6.6%,16.5%,17.8%,24.0%,14.7%,20.4%," 2,465 ",2.29,"$47,783",34,34.8%,20.8,1.5,0.86,13966,33,791,1161,682,914," 45,500 ",2.44,"$60,133",36.2,50.7%,13.0,3.5,0.30,27586,27,5625,19435,1664,2.59,1.38,3.48,2.38,1.83,1.74,1.15,26.94,32,44,24,"The Washington Square Regional Center is a major retail hub for central and southern Washington County, western Clackamas County, and surrounding cities. It is located in the jurisdictions of both Beaverton and Tigard and a portion of unincorporated Washington County. The Washington Square mall is a thriving shopping center and has attracted many other satellite retail developments. The center is served by Highway 217, Southwest Scholls Ferry Road and Southwest Hall Boulevard. Additionally, the center has a Westside Express Service (WES) commuter rail stop and three bus lines. The center has 2,465 residents, 12,742 employees and 1,161 dwelling units. Washington Square Regional Center contains 914 gross acres."
Town Center,Not Adopted,Aloha,3,2,0,0,0,2,0,0,0,0,1,0,6,0,17,1,0,0,0,0,1,13.0%,20.9%,18.5%,20.1%,13.3%,14.2%,6.9%,13.8%,16.2%,26.8%,16.1%,19.3%," 6,611 ",2.91,"$48,053",29.3,38.0%,18.2,6.0,0.28,1003,26,419,2520,118,511," 45,914 ",2.77,"$62,368",31.1,48.3%,12.4,4.0,0.10,5693,22,4168,16642,435,4.3,1.58,2.96,2.42,2.76,1.5,1.5,35.79,39,39,22,"The Aloha Town Center is located along Tualatin Valley Highway, running north and south along 185th Avenue, within Washington County. The center has one ODOT facility within its boundary: Southwest Tualatin Valley Highway (State Highway 8), which connects Beaverton to Hillsboro. Auto-oriented retail locations serve the surrounding community along Southwest Tualatin Valley Highway. The center has 6,610 residents, 1,000 employees and 2,520 dwelling units. Aloha Town Center contains 511 gross acres."
