TYPE,STATUS,NAME,Bakery,Bar,Bike Shop,Bookstore,Brewpub,Child Care,Cinema,Clothing Store,Coffee Shop,Department Store,Dry Cleaners,Fitness Gym,Grocery Store,Music Store,Restaurant,Specialty Snacks & Beverages,Community Center,Fire Station,Govt. Building,Library,School,<$15000,$15000-$34999,$35000-$49999,$50000-$74999,$75000-$99999,$100000 +,1 mile <$15000,1 mile $15000-$34999,1 mile $35000-$49999,1 mile $50000-$74999,1 mile $75000-$99999,1 mile $100000 +,total_pop,avg_HH_size,med_HH_income,med_age,pct_home_ownership,people_per_acre,du_per_acre,total_biz_acre,total_num_employees,market_value,net_acreage,total_du,total_biz,gross_acreage,total_pop 1-mile,avg_HH_size 1-mile,med_HH_income 1-mile,med_age 1-mile,pct_home_ownership 1-mile,people_per_acre 1-mile,du_per_acre 1-mile,total_biz_acre 1-mile,total_num_employees 1-mile,market_value 1-mile,net_acreage 1-mile,total_du 1-mile,total_biz 1-mile,Parks Access,Transit Access,Bike route density,People per acre,Sidewalk density,Private amenities,Block Size,Composite Score,retail,service,other,Narrative,extent,Non_SOV
Central City,Adopted,Portland,12,112,34,9,4,42,7,139,0,4,12,62,43,44,380,39,1,4,1,1,29,33.80%,22.60%,8.40%,9.30%,9.50%,16.50%,23.30%,20.60%,11.50%,13.90%,10.10%,20.80%,34360,1.42,27880,35.3,16.70%,22.7,15.6,8.7,120049,278,1514,23559,13223,2934,119097,1.75,42000,35.5,28.10%,16.1,9.6,3.6,191363,117,7377,70801,26613,4.77,2.77,4.89,3.08,3.75,2.87,3.57,71.37,18,38,45,,"-122.698043,45.489834,-122.649433,45.543794",
Regional Center,Adopted,Beaverton,1,8,10,3,0,3,1,11,0,0,1,7,14,5,53,5,0,0,1,1,2,11.80%,36.40%,15.40%,14.20%,11.20%,11.00%,14.10%,25.70%,15.10%,16.80%,10.30%,18.00%,2729,2.42,36260,30.8,16.50%,7.9,3.6,3.2,7495,38,344,1213,1096,426,36731,2.41,43913,35.1,38.20%,9.6,4.2,1.3,21791,27,3842,16010,4954,4.79,2.2,3,2.79,3.25,3.15,2.45,52.68,40,34,26,"The Beaverton Regional Center serves as a retail and transportation hub for Beaverton and unincorporated Washington County. Located directly west of Highway 217 and south of Highway 26, the center is served by several additional ODOT facilities, including State Highway 8 and 10. Two MAX stops, as well as a regional transit center, provide extensive transit service in and out of the center. The center has 2,290 residents, 5,290 employees and 1,047 dwelling units. Beaverton Regional Center contains 407 gross acres.","-122.814689,45.482274,-122.791915,45.494784",52%
Regional Center,Adopted,Clackamas,0,2,4,1,0,1,0,35,0,4,1,7,2,9,35,0,1,1,0,0,4,23.20%,28.90%,21.00%,13.20%,5.90%,7.80%,13.70%,21.10%,18.00%,17.10%,12.40%,17.80%,5473,2.13,33397,30.1,15.70%,11,5.4,1.8,7999,44,496,2704,868,631,33142,2.45,47990,35.9,43.90%,7.6,3.1,0.5,12080,21,4358,14236,2289,3.91,1.64,4.47,2.5,2.19,2.29,1.11,40.27,38,52,10,"The Clackamas Regional Center is located directly adjacent to Interstate 205 and serves as the retail hub of northern Clackamas County and much of East Portland. Located in unicorporated Clackamas county, the center is home to a large regional mall and many destination shops and services. It is the final southbound stop on the newly opened MAX Green Line. This MAX station is also home to a 750-space park-and-ride facility, which allows for extended transit service to 10 bus lines. The regional center is part of an active urban renewal district and contains abundant surface parking. The center has 5,227 residents, 12,059 employees and 2,680 dwelling units. Clackamas Regional Center contains 631 gross acres.","-122.589627,45.427656,-122.555829,45.44334",53%
Regional Center,Adopted,Gateway,0,5,2,0,0,4,0,5,0,1,4,11,7,1,21,5,1,0,0,0,7,16.80%,27.80%,16.80%,18.60%,10.50%,9.40%,15.90%,24.00%,16.50%,19.80%,11.00%,12.90%,8568,2.18,38655,38.3,29.40%,13.2,6.3,1.6,7167,47,648,4097,1019,809,60745,2.56,42976,36.7,47.30%,13.3,5.4,0.7,16419,29,4574,24580,3250,4.44,2.07,4.31,2.65,2.84,1.86,2.2,48.27,27,55,18,"The Gateway Regional Center serves the northeast and eastern portions of Portland along with shoppers and travelers from most locations east of the Willamette River and both sides of the Columbia River. The center is well connected to the entire region through the major transportation corridors of Interstate 205 and Interstate 84. Additionally, the Gateway transit center serves the Blue, Green and Red MAX lines, six bus lines, and contains 690 parking spaces devoted to park-and-ride commuters. Gateway is part of an active urban renewal district. The center has 8,709 residents, 7,447 employees and 3,878 dwelling units. Gateway Regional Center contains 809 gross acres.","-122.56429,45.51095,-122.544551,45.538102",53%
Regional Center,Adopted,Gresham,1,8,3,0,0,6,1,19,0,1,3,7,9,5,35,4,1,1,1,1,8,24.10%,27.80%,15.20%,16.80%,7.80%,8.40%,15.10%,24.60%,15.20%,19.50%,11.30%,14.30%,4795,2.32,32225,32.1,19.50%,11.6,4.4,1.7,4323,38,412,2173,701,503,47365,2.53,43914,33.9,41.90%,10.1,4.1,0.9,27011,19,4697,19612,4355,4.47,1.95,4.88,2.5,3.24,2.52,2.61,54.64,37,30,33,"The Gresham Regional Center serves eastern Multnomah County with destination shopping and dining. The center encompasses two distinct neighborhoods: Civic Neighborhood and downtown Gresham. Although not on an interstate highway, the center is served by State Highway 26 (Powell Boulevard), and multiple east-west arterials. Downtown Gresham is the eastern terminus of the MAX Blue Line, which contains a 540-space park-and-ride facility and serves eight separate bus lines. The newly opened Civic Station MAX stop is developing into a transit-oriented site, with ongoing public and private investments. The center has 4,684 residents, 6,902 employees and 2,098 dwelling units. Gresham Regional Center contains 692 gross acres.","-122.444984,45.49453,-122.413895,45.512677",53%
Regional Center,Adopted,Hillsboro,5,3,4,2,0,6,0,12,0,0,2,5,11,5,37,3,3,1,1,2,12,15.00%,25.40%,12.60%,19.60%,11.40%,16.00%,12.10%,20.00%,13.00%,21.00%,13.40%,20.50%,13253,3.11,39800,30.5,32.70%,61.9,3,2.8,5307,43,214,4255,603,295,41698,2.98,57730,33.3,57.00%,11.1,2.9,1.5,33490,17,3753,14300,5672,4.17,2.05,3,2.87,3.89,2.61,3.04,52.71,10,47,43,"The Hillsboro Regional Center serves jurisdictions in the western part of region such as Forest Grove and Cornelius as well as rural portions of Washington County. Historic downtown Hillsboro is within the regional center, and is home to the Hillsboro Civic Building, Washington County Courthouse, a satellite campus of Pacific University, and Tuality Community Hospital. The center is the western terminus of the MAX Blue Line, and contains the Hillsboro Central Transit Center, which serves five bus lines. The nearby Hatfield Government Center parking garage contains 250 available spaces for park-and-ride users. The center has 2,336 residents, 6,122 employees and 784 dwelling units. Hillsboro Regional Center contains 295 gross acres.","-123.011815,45.508362,-122.963573,45.52838",54%
Regional Center,Not Adopted,Oregon City,1,11,2,1,0,0,0,0,0,0,0,6,1,0,16,0,0,1,1,1,0,12.00%,26.50%,14.00%,25.50%,10.00%,12.00%,11.50%,17.10%,13.00%,19.70%,13.70%,25.00%,369,1.83,46581,39.2,40.50%,0.7,0.4,0.8,3082,16,500,220,388,768,29657,2.49,58276,39.9,59.10%,5.6,2.4,0.6,21778,15,5275,12463,3180,4.66,1.31,4.21,1.34,1.88,1.46,2.07,37.31,54,25,21,"The Oregon City Regional Center is the southernmost regional center, serving Clackamas County and neighboring cities. The oldest incorporated city in Oregon, the center abuts the Willamette River and is known for its historic, small town feel. The transportation network consists of direct access to Interstate 205 and the additional ODOT facilities of McLoughlin Boulevard (Highway 99 East) and Highway 213. The center has 256 residents, 3,380 employees and 125 dwelling units. The center is served by several bus lines, and is included for a potential high capacity transit service in the the Regional Transportation Plan. Oregon City Regional Center contains 503 gross acres.","-122.621845,45.348135,-122.58247,45.378675",49%
Regional Center,Adopted,Tanasbourne/Amber Glen,1,1,3,1,0,3,1,30,0,0,2,2,5,6,26,2,0,0,0,0,4,6.20%,22.30%,18.50%,21.30%,14.20%,17.50%,6.20%,18.70%,12.70%,19.00%,15.60%,27.80%,9997,2.05,53320,30.5,6.90%,16.5,3.8,1,9643,43,605,5414,634,678,59938,2.48,65013,33.4,45.30%,11.9,4.5,0.6,13513,28,5016,25403,2813,4.39,1.32,3.83,2.45,2.63,2.06,1.17,39.33,38,35,27,"The Tanasbourne Regional Center is located along Cornell Road, south of Highway 26 in Hillsboro. Tanasbourne was upgraded to a regional center in 2010 when the City of Hillsboro completed a new area plan for AmberGlen, subsequently added it to the center boundary, and petitioned the Metro Council for the new designation. The area includes a mix of employment and commercial businesses, notably the Streets of Tanasbourne regional shopping center. The center is serviced by two major arterials, Cornell Road and Northwest 185th Avenue. The center has 3,614 residents, 6,084 employees and 2,037 dwelling units. Tanasbourne Regional Center contains 678 gross acres.","-122.889922,45.516533,-122.859388,45.54802",51%
Regional Center,Adopted,Washington Square,0,0,2,0,0,5,0,25,0,0,1,6,5,18,33,1,0,1,0,0,1,20.50%,27.30%,11.30%,16.20%,7.80%,16.90%,12.30%,21.70%,11.70%,17.70%,12.00%,24.70%,2816,2.17,37280,35.1,33.30%,3.5,1.8,1.6,11703,24,801,1403,1266,936,46298,2.43,54488,37.3,47.40%,8.2,3.6,0.2,6046,24,5625,20035,1322,4.51,1.41,3.7,2.22,1.74,2.13,1.15,35.85,31,44,25,"The Washington Square Regional Center is a major retail hub for central and southern Washington County, western Clackamas County, and surrounding cities. It is located in the jurisdictions of both Beaverton and Tigard and a portion of unincorporated Washington County. The Washington Square mall is a thriving shopping center and has attracted many other satellite retail developments. The center is served by Highway 217, Southwest Scholls Ferry Road and Southwest Hall Boulevard. Additionally, the center has a Westside Express Service (WES) commuter rail stop and three bus lines. The center has 2,465 residents, 12,742 employees and 1,161 dwelling units. Washington Square Regional Center contains 914 gross acres.","-122.794744,45.439294,-122.763095,45.466082",51%
Town Center,Not Adopted,Aloha,2,3,2,0,0,5,0,5,0,0,0,2,6,2,9,1,0,0,0,0,2,16.60%,21.50%,15.30%,22.50%,12.20%,11.90%,10.40%,20.10%,13.70%,22.70%,14.60%,18.40%,7151,2.92,45747,31.5,41.50%,17.1,6.3,1,1386,26,419,2630,425,511,47647,2.78,54401,32.5,48.80%,11.5,4.3,0.5,5219,21,4159,17983,1980,4.75,1.59,3.04,2.43,2.58,1.97,1.69,40.08,39,40,22,"The Aloha Town Center is located along Tualatin Valley Highway, running north and south along 185th Avenue, within Washington County. The center has one ODOT facility within its boundary: Southwest Tualatin Valley Highway (State Highway 8), which connects Beaverton to Hillsboro. Auto-oriented retail locations serve the surrounding community along Southwest Tualatin Valley Highway. The center has 6,610 residents, 1,000 employees and 2,520 dwelling units. Aloha Town Center contains 511 gross acres.","-122.875199,45.488749,-122.85176,45.502793",52%
